title,genres,Plot
Juneli-The light,"Human Trafficking,","Documentary Movie 'Juneli-the light' is the real story based movie produced by Shakti Samuha, Supported by Plan International Nepal and Directed by Mr Badri Adhikari. This movie is based on Human Trafficking for sexual slavery."
Nagad Narayan,"Other,",
Aadha Page,"Romantic,",
Tulashi,"Drama,",Story revolves around Tulashi and Shivam which are the main characters and dispute among high caste and low cast communities and relation between the people in a society seen in Nepal.
Raj Kumar,"Drama,  Romance,  Social,",
Dada Ko Bar Pipal,"Drama,",Dada Ko Bar Pipal is new Nepali movie. Directed by SHOVIT BASNET.
Junge,"Political,","‘True lies in the middle, not in between left or right’. Movie JUNGE seek out Jung Bahadur in the center. They represent him in gray color, not in a black and white. The thought of Jung Bahadur started from the ‘Kotparba’ massacre (19 September 1846) which is still continued at the moment subsequent to republic (Gantantra). The new constitution of Nepal has been finalized but not yet implemented; furthermore the content of movie related to current scenario is contemporary. Character and circumstances is right in the modern adaptation of Jung Bahadur."
Badhsala,"Drama,  Thriller,","he Story shows the reality that hasn't been revealed and still politically suppressed. The dark space and time where humanity has been nakedly denied and perused, crime relentlessly needs to be enlightened to the people and reviewed. The issue of disappearance and the death inside custody is creatively provoked in this story through the character. “It is a tale of the relationship between continuously blind-folded hand-cuffed detainee, and the army personnel in detention on center during emergency period. The characters who are in different situations and power, create an interesting yet complex relationship when they interact, which ultimately shift the power status between them."
Parinaam,"Comedy,  Romance,  Action,",Parinaam is a Kollywood movie directed by Hari Parajuli.
Aama,"Social,  Family,",After the huge blockbuster success of ‘Pashupati and Prasad’. Movie claims to give meaningful lessons and every character will justify the name. In the movie the relation between mother and daughter will be presented.
Summer Love,"Romance,","Summer Love is a 2019 Nepalese romance drama film, based on Subin Bhattarai's novel Summer Love. The film is directed by Muskan Dhakal, produced by Khagendra Shrestha, Indu Bhandari, written by Subin Bhattarai."
Jadugar,,
Hello Prakriti,"Romance,",
Escape,"Social,",
Ngolo Ngolsyo,"Drama,",Ngolo Ngolsyo is Nepali Gurung movie directed by Pritam Gurung.
Malai Man Paryo,,
Honeymoon Night,"Romance,  Rated X,",
Tara - The Lost Star,"Drama,  Social,","""Tara: The Lost Star,"" a young girl named Tara finds herself torn between her deeply ingrained belief system and her own aspirations. As she embarks on a journey to break free from the suffocating
constraints of tradition, she discovers the courage to challenge the reality imposed upon her by generations past. This is the story of Tara, the lost star."
Basudev,"Drama,",A teacher named Basudev Kattel who is suffering from poverty seeks to his friend named Kumar (Neer Bikram Shah) than he realized Kathmandu is filled of corruption.
Manakamana,"Other,",
Gaatho,,
Eka Desh Ko Katha,,Eka Desh Ko Katha is a nepali movie directed by Nirmal Pyakurel.
Maun,"Drama,  Romance,","Love is blind'. But, for Aman (Arpan Thapa) and Barsha (Namrata Shrestha), it is deaf as well as mute. Maun is a story of love between Aman and Barsha who are hearing impaired. Aman, a guy with a dark past, usually spends his days smoking. Barsha, a free-spirited girl who is very fond of her father wants to achieve something in her life despite her inabilities. When Barsha's beloved father returns from America after many years, Aman's past gets revealed and their love story ends up in twists and turns."
Zindagi Rocks,"Other,",
Ziddi,"Drama,  Romance,","Jiddi, is one of those films whose names are. The movie is the second presentation of Aishwarya Films by Ujjwal Poudel. The story of the movie is written by Nayanraj Pandey, editing by Banish Shah, acting by NB Maharjan, music by Sambhujit Baskota, cinematography of Raju Thapa and story of the director Ramesh Budhathoki."
Jung Bahadur Ko Coat,"Action,","The movie introduced an Australian Nepali actress Suchitra Acharya. After the debut film didn’t do well and she was engulfed in a scandal before the film’s release, she hasn’t done any more movies. The movie is a presentation of Khadka & Sons Cine Industry banner. The movie was awarded a PG certificate by the Censor Board of Nepal. The movie is made about an ancient coat of the first Rana prime minister of Nepal. The movie is a crime thriller movie – an attempt to steal the ancient coat."
Laati,"Social,",
Ishwor (2024),"Comedy,  Drama,  Romance,  Action,","Ishwor is new Nepali movie directed by Raju Giri starring Prithvi Raj Prasai, Anu Shah, Sunil Thapa, Buddhi Tamang, Rabindra Jha."
Bulbul,"Drama,",A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.
BATO - Road to Death,"Thriller,  Mystery,","A paramedic, Komal gets assigned to a mission of delivering live human heart for transplant in an ambulance where she encounters mysterious people in her journey, with Manjil and Tony, leading to gruesome mishaps and dreadful events."
Brake Fail,"Comedy,","Brake Fail is a delightful ensemble comedy that brings together a talented cast of comedic actors. Rashi (Richa Ghimire), a young, headstrong woman is deeply in love with the charismatic social-worker Drona (Rajesh Hamal), while two thieves Prayash and Koshish are in love with her. Her journalist friend Raj wants a big story while Inspector Chiran wants a big arrest. Their desires bring them together and take them to the beautiful far west of Nepal, where a chaotic, mad chase culminates in love and redemption being found through heroic acts. Brake Fail is truly a Nepali comedy, full of laughs, love and soulful music."
Gorkhey,"Drama,  Action,",Gorkhey is a Nepali movie directed by Kimmat Gautam.
Parichay,"Drama,  Action,",
Saahu Ba,"Thriller,","'Saahu Ba'' is a new Nepali web series directed and written by Sujoy Young, starring Priyanka Karki, Kabita Nepali, Namrata Shrestha."
Love Love Love,"Romance,",Man hopes to get a girlfriend which he loves but he ends up in friend zone.
Mero Desh,"Drama,","Mero Desh is Kollywood movie directed by Dev Nepal, and produced by Parbati Mainali and Prabhakar Sapkota."
Kalo Pothi,"Drama,  Action,  History,","They are bonded, nonetheless, by friendship and affection for a hen, whose eggs just might make a difference to Prakash's impoverished family. When the boy's father sells the bird, the chums desperately attempt to raise funds in order to buy it back."
The Winner,"Thriller,",THE WINNER captures the untold stories of Organised Crime and their families as it follows the journey across Australia and Nepal.
Mandira,"Drama,  Thriller,  Suspance,",MANDIRA is nepali feature(suspense drama) film directed by Dipesh Sapkota and produced by Hari Bhatta.
Aadikabi Bhanubhakta,"History,",Historical biopic based on the life of Nepali poet Bhanubhakta Acharya.
Bacha Bandhan,"Social,",
Best Frenz Forever,"Love Story,","Best Frenz Forever is a Kollywood movie about love and teenager's friendship bonding, directed by Utsav Pratap Thapaliya."
MAKHAMALI,"Romance,  Action,","The movie by Suvekshya Thapa is made under  Shuvechchha Entertainment and is directed byRaju Giri. The movie featuring Ashok Phuyal with Suvekshya Thapa, Durgesh Thapa and Giban Giri is a love story masala movie."
Rumalai Chha Chino,,
Gaun Aayeko Bato (A Road to a Village),"Drama,  Social,","Gaun Aayeko Bato (A Road to a Village) is a cultural Nepali film starring Dayahang Rai, directed by Nabin Subba, is coming out soon. Since this is a fan-made teaser, I dedicate the material used in this video to the concerned creator. This teaser has been created as a fan of Dayahang Rai to promote Nepali film and art. Please inform the concerned agency or organization if there is a disaster in this video."
Jaalo,"Drama,  Thriller,","""JAALO"" is a Guinness world record holder commercial movie for longest one shot movie and Two movies filmed in one single continuous shot. Every human being on this earth weaves web according to its nature some spreads smile as his nature while some spreads hatred. Movie JAALO is a suspense thriller movie. Every character on this film weaves different web according to their needs and ability. On one fine sunny day a phone rings in Bhupendra Shamsher JBR (Nir Shah)'s house and gets some threatening call and the story begins."
Leela,"Drama,  Romance,","Nepali movie ‘Jeevan Leela’ is a presentation of Rodhi Digital by Bgagawati Rana. The movie features the cinematography of Ratna Karki, editing of Chhabi Rana Magar, script by the director Pritam Gurung, action by Ram / Janak, choreography by Govinda Prabhat/Yam Gurung, background music by Manoj Rajbhandari, and produced by Purna Rana Magar. Censor board has given a P/G certificate to the movie. Giri Pradad Pun is popularly known as Lahure Dai."
Ghar Sansar (2014),"Drama,  Action,","Ghar Sansar is a Nepali movie directed by Madan Ghimire, starring  Karishma Manandhar, Ramesh Upreti, Kesab Bhattrai, Deepa Shree Niraula, Sunil Thapa."
Tori lahure,"Drama,  Social,",
Geet Gajal,,
Causo,"Drama,  Action,",
Safar,"Drama,  Adventure,",Three friends set out on a road trip from Dallas to San Francisco and along the way gain some unexpected insight into themselves.
Kina Garey Maya,"Drama,  Romance,  Social,",
Where the Trail Ends,"Drama,  Documentary,  Sport,","Extreme sports documentary following professional freeride mountain bikers as they explore remote natural landscapes to take on some of the globe's toughest untouched bike trails. Their search for the most challenging landscape to perform death-defying stunts takes in the foothills of the Andes, the remote Mustang region of Nepal and the Gobi desert, as the team push the boundaries of extreme mountain biking."
Milan,"Other,",
Khetala,"Other,",
Sourya,"Other,","The action movie by Hakim Entertaiment, ‘SOURYA’ features the screenplay of Subash Singh Basnet / Markanday Dipbim Basnet, cinematography of Rameshowr Karki, Editing of Chandra Dutta / Bishal Koirala, action of Shankar Maharjan and produced by Surendra Gurung ‘Hakim’. The movie is the debut movie of Hema Shrestha and Anup Bikram Shahi."
Bidhuwa,"Social,",
Ichchha,,
Doli,"Drama,  Social,",A heart touching movie – social drama by Raj Bahadur Sane. Sane is known for producing action movies. The viewers have liked the acting of the little actor and the story of the film.
Rudane,"Drama,  Biography,","Based on Nepalese politician Rup Chandra Bista known as Ru Da Ne (Rup Daman Nepal) was change maker, philosopher and  politician who had extraordinarily complex character.  This largely forgotten man who started ‘Thaha’ movement is still a very mysterious personality to many even after 17 years of his death. We tried to find some basic facts about his personal life and his ‘Thaha’ movement."
